name,homeworld,species,actor
Chirrut Îmwe,Jedha,Human,Donnie Yen
Cliegg Lars,Tatooine,Human,Jack Thompson
Col Takbright,Uquine,Human,"Colin Higgins, David Ankrum (voice)"
Conan Antonio Motti,Seswenna,Human,Richard LeParmentier
Cordé,Naboo,Human (Naboo),"Veronica Segura, Natalie Portman"
Cornelius Evazan,Alsakan,Human,"Alfie Curtis (IV), Michael Smiley (RO)"
Crix Madine,Corellia,Human (Corellian),Dermot Crowley
CT-7567 / Rex,Kamino,Human (clone),Dee Bradley Baker (voice)
D-O,,,"J. J. Abrams (voice), Robin Guiver (puppet), Lynn Robertson Bruce (puppet)"
Dak Ralter,Kalist VI,Human,John Morton
Dannl Faytonni,Corellia,Human (Corellian),Anthony Daniels
Darth Sidious / Sheev Palpatine,Naboo,Human (Naboo),"Ian McDiarmid, Marjorie Eaton (V), Ian Abercrombie (voice in TCW)"
Davish Krail,Dantooine,Human,Graham Ashley
Debnoli,,Human,George Oliver
Dengar,Corellia,Human (Corellian),Morris Bush
Depa Billaba,Chalacta,Human (Chalactan),Dipika O'Neill Joti
"Derek ""Hobbie"" Klivian",Ralltiir,Human,Richard Oldfield
Dex Tiree,Onderon,Human (Onderonian),"Jeremy Sinden, Harry Shearer (voice)"
Dexter Jettster,Ojom,Besalisk,Ronald Falk (voice)
Dice Ibegon,,Lamproid,
DJ,,Human,Benicio Del Toro
Djas Puhr,,Sakiyan,
Dobbu Scay,,,Mark Hamill (voice)
Doda Bodonawieedo,Rodia,Rodian,Nelson Hall (VI - special)
Doikk Na'ts,Bith,Bith,
Dooku / Darth Tyranus,Serenno,Human (Serennian),Christopher Lee
Dormé,Naboo,Human (Naboo),Rose Byrne
Dryden Vos,,,Paul Bettany
Dud Bolt,Vulpter,Vulptereen,
Eeth Koth,Iridonia,Zabrak (Iridonian),Hassani Shapi
Elis Helrot,,Givin,
Ello Asty,Abednedo,Abednedo,"Paul Kasey, Matthew Wood (voice)"
Enfys Nest,,Human,Erin Kellyman
Enric Pryde,Alsakan,Human,Richard E. Grant
Even Piell,Lannik,Lannik,Michaela Cottrell
Feltipern Trevagg,,Gotal,
Figrin D'an,Bith,Bith,
Finis Valorum,Coruscant,Human (Coruscanti),Terence Stamp
Finn / FN-2187,,Human,John Boyega
Firmus Piett,Axxila,Human,Kenneth Colley
FN-2199,,Human,"Liang Yang, David Acord (voice)"
Fodesinbeed Annodue,Pollillus,Troig,"Greg Proops, Scott Capurro"
Galen Walton Erso,Grange,Human,Mads Mikkelsen
Garouf Lafoe,,Human,Peter Diamond
Garven Dreis,Virujansi,Human,Drewe Henley
Gasgano,Troiken,Xexto,
Gherant,,Human,Pip Miller
Gial Ackbar,Mon Cala,Mon Calamari,"Tim Rose, Erik Bauersfeld (voice in VI, VII), Tom Kane (voice in VIII)"
Grakchawwaa,,Wookiee,
Greedo,Rodia / Tatooine,Rodian,"Paul Blake, Larry Ward (voice)"
Gregar Typho,Naboo,Human (Naboo),Jay Laga'aia
Grievous,Kalee,Kaleesh,Matthew Wood (voice)
Grummgar,Dowut,Dowutin,"Patrick Comerford, Don Austen, Andy Heath, Katherine Smee, Lynn Robertson Bruce, Iestyn Evans"
Han Solo,Corellia,Human (Corellian),"Harrison Ford, Alden Ehrenreich (S)"
Hem Dazon,,Arcona,Laine Liska
Het Nkik,Tatooine,Jawa,
Hrchek Kal Fas,Durkteel,Saurin,
Hurst Romodi,Virujansi,Human,Andy de la Tour
Ickabel G'ont,Bith,Bith,
IG-88B,,IG-88 assassin droid,
Jabba Desilijic Tiure,Nal Hutta / Tatooine,Hutt,"Toby Philpott (VI), David Barclay (VI), Mike Edmonds (VI), Larry Ward (voice in VI), Kevin Michael Richardson (voice in TCW)"
Jamillia,Naboo,Human (Naboo),Ayesha Dharker
Jan Dodonna,Commenor,Human,"Alex McCrindle (IV), Ian McElhinney (RO)"
Jango Fett,Concord Dawn,Human,Temuera Morrison
Jannah,,Human,Naomi Ackie
Jar Jar Binks,Naboo,Gungan (Otolla),Ahmed Best
Jek Tono Porkins,Bestine IV,Human,William Hootkins
Jenny,,Human,Jenny Cresswell
Jeroen Webb,Ralltiir,Human,Norwich Duff
Jess,,Human,Amanda Noar
Jessika Pava,Dandoran,Human,Jessica Henwick
Jhoff,,Human,Adam Bareham
Joclad Danva,,Human,Kyle Rowling
John D. Branon,,Human,Jack Klaff
"Jon ""Dutch"" Vander",Onderon,Human (Onderonian),Angus MacInnes
Jyn Erso,Vallt,Human,"Felicity Jones, Beau Gadsdon, Dolly Gadsdon"
K-2SO,Vulpter,KX-series security droid,Alan Tudyk
K-3PO,,3PO-series protocol droid,Chris Parsons
Kabe,Chad,Chadra-Fan,
Kaljach Sonmi,,Heptooinian,
Kardue'sai'Malloc,Devaron,Devaronian,
Kaydel Ko Connix,Dulathia,Human,Billie Lourd
Kendal Ozzel,Carida,Human,Michael Sheard
Ketwol,,Pacithhip,
Ki-Adi-Mundi,Cerea,Cerean,Silas Carson
Kit Fisto,Glee Anselm,Nautolan,"Zachariah Jensen (II), Daniel Zizmor (II), Ben Cooke (III)"
Kitik Keed'kak,Huk,Yam'rii,
Kitster Banai,Tatooine,Human,Dhruv Chanchani
Klaud,,Trodatome,Nick Kellington
Korr Sella,Hosnian Prime,Human,Maisie Richardson-Sellers
Kuruk,,,Joe Kennard
L3-37,,,Phoebe Waller-Bridge
Landonis Balthazar Calrissian,Socorro,Human,"Billy Dee Williams, Donald Glover (S)"
Lanever Villecham,Tarsunt,Tarsunt,Derek Arnold
Lanzora Garan,,Human,Mandeep Dhillon
Larma D'Acy,Warlentta,Human,Amanda Lawrence
Leesub Sirln,,Qiraash,Pam Rose
Leia Skywalker Organa Solo,Alderaan,Human (Alderaanian),"Carrie Fisher, Aidan Barton (III), Ingvild Deila (RO)"
Lennox,,Human,John Dicks
Lirin Car'n,Bith,Bith,
Lobot,Bespin,Human,John Hollis
Logray,Endor,Ewok,Mike Edmonds
Lor San Tekka,,Human,Max von Sydow
Lorth Needa,Coruscant,Human,Michael Culver
Lott Dod,Neimoidia,Neimoidian,"Silas Carson, Toby Longworth (voice)"
Luke Skywalker,Tatooine,Human,"Mark Hamill, Aidan Barton (III)"
Luminara Unduli,Mirial,Mirialan,"Mary Oyaya (II), Fay David (III), Olivia d'Abo (voice in IX)"
Lyra Erso,Aria Prime,Human,Valene Kane
M'iiyoom Onith,,H'nemthe,
Mace Windu,Haruun Kal,Human,Samuel L. Jackson
Malakili,Corellia,Human (Corellian),"Paul Brooke, Ernie Fosselius (voice)"
Mas Amedda,Champala,Chagrian,"Jerome Blake (I, III), David Bowers (II, III)"
Master Codebreaker,,Human,Justin Theroux
Maul / Darth Maul,Dathomir,Zabrak (Dathomirian),"Ray Park, Peter Serafinowicz (voice in I), Sam Witwer (voice in S)"
Max Rebo,Orto,Ortolan,
Maximilian Veers,Denon,Human,Julian Glover
Maz Kanata,Takodana,,Lupita Nyong'o
Melas,,Sarkan,
Merc Sunlet,Tirac Munda,Human,Ted Western
Moden Canady,,Human,Mark Lewis Jones
Momaw Nadon,Ithor,Ithorian,
Mon Mothma,Chandrila,Human (Chandrilan),"Caroline Blakiston (IV), Genevieve O'Reilly (III, RO)"
Moradmin Bast,,Human,Leslie Schofield
Moroff,,Gigoran,Ian Whyte
Mosep Binneed,Nimban,Nimbanel,"Annette Jones (IV), Richard Bonehill (VI)"
Muftak,Orto Plutonia,Talz,Laine Liska
Myo,Byss,Abyssin,
Nabrun Leids,,Morseerian,Janice Burchette
Nalan Cheel,Bith,Bith,
Nee Alavar,,Human,Rena Owen
Nemet,,Human,"Mark Jones, James Gleason (voice)"
Nicki,Endor,Ewok,Nicholas Read
Nien Nunb,Sullust,Sullustan,"Mike Quinn, Richard Bonehill, Kipsang Rotich (voice)"
Notluwiski Papanoida,Pantora,Pantoran,George Lucas
Nute Gunray,Neimoidia,Neimoidian,Silas Carson
Obi-Wan Kenobi,Stewjon,Human,"Alec Guinness, Ewan McGregor, James Arnold Taylor (voice in TCW)"
Ochi,Bestoon,,Liam Cook
Ody Mandrell,Tatooine,Er'Kit,Matthew Wood (voice)
Ohwun De Maal,,Duros,
Oma Tres,,Human,John Williams
Omi,Vodran,Dianoga,
Oola,Ryloth,Twi'lek,Femi Taylor
Oppo Rancisis,Thisspias,Thisspiasian,
Orn Free Taa,Ryloth,Twi'lek (Rutian),
Orson Callan Krennic,Lexrul,Human,Ben Mendelsohn
Owen Lars,Tatooine,Human,"Phil Brown (IV), Joel Edgerton (II, III)"
Ownellco,,Lutrillian,
Padmé Amidala,Naboo,Human (Naboo),"Natalie Portman, Catherine Taber (voice in TCW)"
Paige Tico,Hays Minor,Human,Veronica Ngo
Pao,Pipada,Drabatan,Derek Arnold
Paploo,Endor,Ewok,Kenny Baker
Pateesa,,Rancor,
Phasma,Parnassos,Human,Gwendoline Christie
Plo Koon,Dorin,Kel Dor,"Alan Ruscoe (I, II), Matt Sloan (II, III)"
Poe Dameron,Yavin 4,Human,Oscar Isaac
Poggle the Lesser,Geonosis,Geonosian,Marton Csokas (voice)
Ponda Baba,Ando,Aqualish,Tommy Ilsley
Pons Limbic,,Siniteen,
Proxima,Corellia,Grindalid,Linda Hunt (voice)
PZ-4CO,,PZ protocol droid,
Qi'ra,Corellia,Human (Corellian),Emilia Clarke
Quarsh Panaka,Naboo,Human (Naboo),Hugh Quarshie
Quiggold,Gabdor,Gabdorin,"Scott Richardson, Chris Clarke (voice)"
Quinlan Vos,Kiffu,Kiffar,
R2-D2,Naboo,R2 series astromech droid,"Kenny Baker, Jimmy Vee"
R4-P17,,R4-P astromech droid,
Raddus,Mon Cala,Mon Calamari,"Paul Kasey, Stephen Stanton (voice)"
Ralo Surrel,,Human,Russell Balogh
Raymus Antilles,Alderaan,Human (Alderaanian),"Peter Geddis (IV), Rohan Nichol (III), Tim Beckmann (RO)"
Razoo Qin-Fee,Nar Kanji,Human,Iko Uwais
Ree-Yees,Kinyen,Gran,"Paul Springer, Richard Bonehill"
Reegesk,Aralia,Ranat,Sadie Eden
Rey Skywalker,Jakku,Human,"Daisy Ridley, Cailey Fleming (VII)"
Rio Durant,Ardennia,Ardennian,"Katy Kartwheel, Jon Favreau (voice)"
Romas Navander,,Human,Burnell Tucker
Roodown,Abednedo,Abednedo,Ian Whyte
Roos Tarpals,Naboo,Gungan (Otolla),Steven Speirs (voice)
Rose Tico,Hays Minor,Human,Kelly Marie Tran
Rothgar Deng,Corellia,,
Rotta,Tatooine,Hutt,David Acord (voice)
Rugor Nass,Naboo,Gungan (Ankura),Brian Blessed (voice)
Rune Haako,Neimoidia,Neimoidian,"Jerome Blake (I), James Taylor (voice in I), Alan Ruscoe (II), Chris Truswell (voice in II), Sandy Thompson (III)"
Rycar Ryjerd,,Bimm,
Sabé,Naboo,Human (Naboo),Keira Knightley
Saché,Naboo,Human (Naboo),Sofia Coppola
Saesee Tiin,Iktotch,Iktotchi,"Khan Bonfils (I), Jesse Jensen (II), Kenji Oates (III)"
Sai'torr Kal Fas,Saurin,,
Salacious B. Crumb,Kowak,Kowakian monkey-lizard,"Mark Dodson (voice), Tim Rose (puppet)"
Saw Gerrera,Onderon,Human (Onderonian),Forest Whitaker
Sebulba,Malastare,Dug,Lewis MacLeod (voice)
Senni Tonnika,,,Angela Staines
Shaak Ti,Shili,Togruta,"Orli Shoshan (II), Maria Brill (III)"
Shmi Skywalker Lars,Tatooine,Human,Pernilla August
Sidon Ithano,Delphidian Cluster,Delphidian,Cavin Cornwall
Sio Bibble,Naboo,Human (Naboo),Oliver Ford Davies
Slowen Lo,Cantonica,Abednedo,"Dee Tails, Joseph Gordon-Levitt (voice)"
Sly Moore,Umbara,Umbaran,Sandi Finlay
Snoke,Exegol,,Andy Serkis
Stass Allie,Tholoth,Tholothian,Lily Nyamwasa
Sun'il Ei'de,Bith,Bith,
Swilla Corey,Tatooine,Human,Mandy Morton
Sy Snootles,Lowick,Pa'lowick,Annie Arbogast
Sy-O,,Exogorth,
Taidu Sefla,,Human,Babou Ceesay
Tak,Coruscant,Human (Coruscanti),Anthony Daniels
Takeel,Cadomai Prime,Snivvian,Alf Mangan
Tallissan Lintra,Pippip 3,Human,Hermione Corfield
Tarfful,Kashyyyk,Wookiee,Michael Kingma
Tasu Leech,Nar Kanji,,Yayan Ruhian
Taun We,Kamino,Kaminoan,Rena Owen (voice)
Tech Mo'r,Bith,Bith,
Tedn Dahai,Bith,Bith,
Teebo,Endor,Ewok,Jack Purvis
Teedo,Jakku,Teedo,"Kiran Shah, David Acord (voice)"
Teemto Pagalies,Moonus Mandel,Veknoid,
Temiri Blagg,Cantonica,Human,Temirlan Blaev
"Temmin ""Snap"" Wexley",Akiva,Human,Greg Grunberg
Thanisson,,Human,Thomas Brodie-Sangster
Theron Nett,,Human,Robert O'Mahoney
Tigran Jamiro,,Human,Ray Hassett
Tion Medon,Utapau,Pau'an,Bruce Spence
Tobias Beckett,Glee Anselm,Human,Woody Harrelson
Toryn Farr,Chandrila,Human (Chandrilan),Brigitte Kahn
Trinto Duaba,Stennaros,Stennes Shifter,Salo Gardner (VII)
Trudgen,,,Tom Rodgers
Tzizvvt,Jandoon,Brizzit,
Ubbla Mollbro,,Xi'Dec,
Ubialla Gheal,,,Sema-Tawi Smart
Unkar Plutt,Crul / Jakku,Crolute,Simon Pegg
Ushos O. Statura,Garel,Human,Ken Leung
Val,Solarine,Human,Thandiwe Newton
Vanden Willard,Alderaan,Human (Alderaanian),"Eddie Byrne, Michael Bell (voice)"
Wald,Tatooine,Rodian,Warwick Davis
Watto,Toydaria,Toydarian,Andrew Secombe
Weazel,Tatooine,Human,Warwick Davis
Wedge Antilles,Corellia,Human (Corellian),"Denis Lawson, David Ankrum (voice in IV, RO)"
Weeteef Cyu-Bee,Tal Pi,Talpini,Warwick Davis
Wes Janson,Taanab,Human,Ian Liston
Whorm Loathsom,Kerkoidia,Kerkoiden,Corey Burton (voice)
Wicket Wystri Warrick,Endor,Ewok,Warwick Davis
Wilhuff Tarkin,Eriadu,Human,"Peter Cushing (IV), Wayne Pygram (III), Guy Henry (RO)"
Wollivan,Rina Major,Blarina,Warwick Davis
Wrobie Tyce,Warlentta,Human,Vinette Robinson
Wuher,Tatooine,Human,Ted Burnett
Wyron Serper,,Human,Burnell Tucker
Yaddle,,,Phil Eason
Yarael Poof,Quermia,Quermian,Michelle Taylor
Yarna d'al' Gargan,Askaji,Askajian,Claire Davenport
Yerka Mig,Ralltiir,Human,George Stock
Yoda,,,"Frank Oz, Tom Kane (voice in TCW)"
Zam Wesell,Zolan,Clawdite,Leeanna Walsman
Zett Jukassa,,Human,Jett Lucas
Zev Senesca,Kestic Station,Human,Christopher Malcolm
Ziro Desilijic Tiure,Sleheyron / Coruscant,Hutt,Corey Burton (voice)
Zorii Bliss,Kijimi,Human,Keri Russell
Zuckuss,Gand,Gand (Breathing),Cathy Munro
Zutton,,Snivvian,
