Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
04/07/2000,Rules of Engagement,"In 1996, attorney Hodges helps Colonel Childers, on trial for ordering his troops to shoot at civilians when they bombarded a U.S. embassy in Yemen.",William Friedkin,"Tommy Lee Jones,
Samuel L. Jackson,
Guy Pearce",Mark Isham,
04/08/2000,Frequency,An accidental cross-time radio link connects father and son across 30 years. The son saves his father's life but then must fix consequences.,Gregory Hoblit,"Dennis Quaid,
Jim Caviezel,
Andre Braugher",Michael Kamen,
04/14/2000,28 Days,An alcoholic woman with a boyfriend is forced to enter a rehab center for a month after ruining her sister's wedding and crashing a stolen limousine.,Betty Thomas,"Sandra Bullock,
Viggo Mortensen,
Dominic West",Richard Gibbs,
04/14/2000,American Psycho,"In 1987, a rich New York City investment banking executive Patrick Bateman keeps hidden his alter ego who dreams of inflicting pain and murdering.",Mary Harron,"Christian Bale,
Willem Dafoe,
Jared Leto",John Cale,
04/14/2000,Keeping the Faith,"Two friends, a priest and a rabbi, fall in love with the same corporate executive they knew in their youth. Their religious positions prevent romance.",Edward Norton,"Ben Stiller,
Jenna Elfman,
Edward Norton",Elmer Bernstein,
04/21/2000,Love & Basketball,Monica and Quincy love and play basketball together through many life challenges from childhood to adulthood.,Gina Prince-Bythewood,"Omar Epps,
Sanaa Lathan,
Alfre Woodard",Terence Blanchard,
04/21/2000,The Virgin Suicides,"In 1970s Detroit, a group of male friends become obsessed with five mysterious, depressed sisters who are sheltered by their strict, religious parents.",Sofia Coppola,"James Woods,
Kathleen Turner,
Kirsten Dunst",Air,
04/21/2000,U-571,"During World War II, a German U-boat is boarded by disguised American submariners trying to take its Enigma cipher machine and control the boat.",Jonathan Mostow,"Matthew McConaughey,
Bill Paxton,
Harvey Keitel",Richard Marvin,
04/28/2000,The Flintstones in Viva Rock Vegas,"Helped by the Great Gazoo, bachelors Fred and Barney meet and fall for Wilma and Betty. Casino owner Chip invites them to Rock Vegas as a trap.",Brian Levant,"Mark Addy,
Stephen Baldwin,
Kristen Johnston",David Newman,The Flintstones prequel
04/28/2000,Where the Heart Is,"A pregnant 17-year-old rebuilds her life after being abandoned by her boyfriend at a Walmart in Sequoyah, Oklahoma and raising a daughter.",Matt Williams,"Natalie Portman,
Ashley Judd,
Stockard Channing",Mason Daring,
05/05/2000,Gladiator,"In 180 AD, Roman ex-general Maximus seeks vengeance against corrupt emperor Commodus, who murdered his family and sent him to slavery.",Ridley Scott,"Russell Crowe,
Joaquin Phoenix,
Connie Nielsen","Hans Zimmer,
Lisa Gerrard",
05/12/2000,Battlefield Earth,"In 3000, the Earth is lost to the gold-thirsty alien Psychlos. They have enslaved humanity, but one of them plans to ignite the rebellion of a lifetime.",Roger Christian,"John Travolta,
Barry Pepper,
Forest Whitaker",Elia Cmiral,
05/12/2000,Center Stage,12 teens enroll at the American Ballet Academy in New York to grow as dancers. Each deals with the stress of training to join a top ballet company.,Nicholas Hytner,"Amanda Schull,
Zoe Saldana,
Susan May Pratt",George Fenton,
05/12/2000,Screwed,Chauffeur Willard and his restaurant owner friend Rusty try to steal his boss Mrs. Crock's dog. They fail but have her pay a ransom for Willard himself.,"Scott Alexander,
Larry Karaszewski","Norm Macdonald,
Dave Chappelle,
Danny DeVito",Michel Colombier,
05/19/2000,Dinosaur,An orphaned dinosaur raised by lemurs joins an arduous trek to a sanctuary after a meteorite shower destroys his family home.,"Ralph Zondag,
Eric Leighton","D. B. Sweeney,
Alfre Woodard,
Ossie Davis",James Newton Howard,
05/19/2000,Road Trip,Four Ithaca college buddies go on a trip to get an illicit tape mistakenly mailed to a female friend in Austin. They wreck a car so struggle on the way.,Todd Phillips,"Breckin Meyer,
Seann William Scott,
Amy Smart",Mike Simpson,
05/24/2000,Mission: Impossible 2,Ethan Hunt is sent to Sydney to destroy the virus Chimera and take the cure from rogue IMF agent Sean Ambrose with Sean's ex-girlfriend's support.,John Woo,"Tom Cruise,
Dougray Scott,
Thandiwe Newton",Hans Zimmer,
05/26/2000,Shanghai Noon,"In 1881, Chinese Chon Wang goes to Nevada to find a kidnapped princess. He and a train robber, Roy, take on a Chinese traitor and his evil boss.",Tom Dey,"Jackie Chan,
Owen Wilson,
Lucy Liu",Randy Edelman,
06/02/2000,Big Momma's House,"In order to protect a beautiful woman and her son from a robber, a male FBI agent disguises himself as a large grandmother.",Raja Gosnell,"Martin Lawrence,
Nia Long,
Paul Giamatti",Richard Gibbs,
06/09/2000,Gone in 60 Seconds,Former car thief Memphis leaves his retirement to steal 50 cars in a single night in exchange for his brother's life. He assembles a crew of old friends.,Dominic Sena,"Nicolas Cage,
Angelina Jolie,
Giovanni Ribisi",Trevor Rabin,
06/16/2000,Shaft,NYPD detective John investigates a racist assault outside a restaurant. He works to hunt real estate tycoon's son Wade and locate eyewitness Diane.,John Singleton,"Samuel L. Jackson,
Vanessa Williams,
Jeffrey Wright",David Arnold,Shaft 4
06/16/2000,Titan A.E.,"In 3043, a 19-year-old salvage worker learns he has to find a hidden Earth ship before an enemy alien species does to secure humanity's survival.","Don Bluth,
Gary Goldman","Matt Damon,
Bill Pullman,
John Leguizamo",Graeme Revell,
06/23/2000,Chicken Run,A group of chickens see a rooster named Rocky as their only hope to escape an egg farm when their owners prepare to turn them into meat pies.,"Peter Lord,
Nick Park","Julia Sawalha,
Mel Gibson,
Miranda Richardson","John Powell,
Harry Gregson-Williams",
06/23/2000,"Me, Myself & Irene","In Rhode Island, a state trooper with a second personality must escort to New York a woman on the run from a corrupt ex-boyfriend and his allies.","Peter Farrelly,
Bobby Farrelly","Jim Carrey,
Renée Zellweger,
Chris Cooper","Pete Yorn,
Lee Scott",
06/28/2000,The Patriot,"In 1776, a peaceful farmer is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.",Roland Emmerich,"Mel Gibson,
Heath Ledger,
Joely Richardson",John Williams,
06/30/2000,The Adventures of Rocky and Bullwinkle,"When three enemies escape into the real world with an evil scheme, Rocky and Bullwinkle do the same and work with an FBI agent to stop them.",Des McAnuff,"Rene Russo,
Jason Alexander,
Randy Quaid",Mark Mothersbaugh,
06/30/2000,The Perfect Storm,"In 1991, the Andrea Gail, a commercial fishing vessel with a crew of six and a recent huge catch, struggles at sea after being caught in a hurricane.",Wolfgang Petersen,"George Clooney,
Mark Wahlberg,
Diane Lane",James Horner,
07/07/2000,Disney's The Kid,"In L.A., lonely 40-year-old image consultant Russ gets a second shot at life when he is confronted by an eight-year-old version of himself in his time.",Jon Turteltaub,"Bruce Willis,
Spencer Breslin,
Emily Mortimer","Marc Shaiman,
Jason White",
07/07/2000,Scary Movie,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are hunted by a bumbling serial killer wearing a mask.",Keenen Ivory Wayans,"Anna Faris,
Jon Abrahams,
Marlon Wayans",David Kitay,
07/10/2000,Heavy Metal 2000,"After surviving an attack on her home Eden, Julie must prevent crazy Tyler from gaining immortality and rescue her kidnapped sister Kerrie from him.","Michael Coldewey,
Michel Lemire","Michael Ironside,
Julie Strain,
Billy Idol",Frederic Talgorn,
07/14/2000,X-Men,"In a world where most mutants are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood and a pacifist group.",Bryan Singer,"Patrick Stewart,
Hugh Jackman,
Ian McKellen",Michael Kamen,
07/19/2000,The In Crowd,A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of college kids under the wing of its twisted leader.,Mary Lambert,"Susan Ward,
Lori Heuring,
Matthew Settle",Jeff Rona,
07/21/2000,What Lies Beneath,The wife of a college professor believes that her lakeside Vermont home is haunted by the ghost of a student that her husband had an affair with.,Robert Zemeckis,"Harrison Ford,
Michelle Pfeiffer,
Diana Scarwid",Alan Silvestri,
07/28/2000,Nutty Professor II: The Klumps,"Scientist Sherman Klump's inventions, marriage to his pretty colleague Denise, and his reputation are threatened by his evil clone Buddy's return.",Peter Segal,"Eddie Murphy,
Janet Jackson,
Larry Miller",David Newman,
08/04/2000,Coyote Ugly,"In New York City, aspiring songwriter Violet starts a job at a trendy bar where women entertain male patrons for tips. Kevin helps her deal with nerves.",David McNally,"Piper Perabo,
Adam Garcia,
Maria Bello",Trevor Horn,
08/04/2000,Hollow Man,"A brilliant scientist in a team working with animals refines a serum that renders him invisible, but he becomes a powerful, dangerous megalomaniac.",Paul Verhoeven,"Elisabeth Shue,
Kevin Bacon,
Josh Brolin",Jerry Goldsmith,
08/04/2000,Space Cowboys,"When retired engineer pilot Frank is called upon to rescue a failing Soviet satellite, he insists his equally old teammates accompany him in space.",Clint Eastwood,"Clint Eastwood,
Tommy Lee Jones,
Donald Sutherland",Lennie Niehaus,
08/11/2000,The Replacements,"During a players’ strike, a former coach is hired to help the Washington Sentinels make the playoffs. He recruits players like failure quarterback Falco.",Howard Deutch,"Keanu Reeves,
Gene Hackman,
Orlando Jones",John Debney,
08/18/2000,The Cell,"An FBI Agent persuades a social worker, who is able to enter the mind of a comatose serial killer, to find where he has hidden his last kidnap victim.",Tarsem Singh,"Jennifer Lopez,
Vince Vaughn,
Vincent D'Onofrio",Howard Shore,
08/25/2000,Bring It On,"In San Diego, high school cheerleading captain Torrance discovers the Toros' last leader stole all of their best routines from the Compton Clovers.",Peyton Reed,"Kirsten Dunst,
Eliza Dushku,
Jesse Bradford",Christophe Beck,
08/25/2000,The Art of War,"When terrorists threaten the United Nations, they frame the one man they believe can stop them: an international security expert named Shaw. ",Christian Duguay,"Wesley Snipes,
Anne Archer,
Maury Chaykin",Normand Corbeil,
08/25/2000,The Crew,"Retired mobsters leader Bobby, angry Bats, silent Mouth, and dim-witted Brick stage a murder then kidnap a woman. Drug smugglers desire revenge.",Michael Dinner,"Richard Dreyfuss,
Burt Reynolds,
Dan Hedaya",Steve Bartek,
09/01/2000,Highlander: Endgame,"Immortals Connor and Duncan MacLeod must join forces against Kell, an evil immortal who has become too powerful for anyone to battle alone.",Doug Aarniokoski,"Adrian Paul,
Christopher Lambert,
Bruce Payne","Nick Glennie-Smith,
Stephen Graziano",Highlander 4
09/08/2000,Nurse Betty,Betty suffers a nervous breakdown after she sees her husband's murder. She delusionally seeks a soap opera doctor. Two hitmen pursue her to L.A.,Neil LaBute,"Renée Zellweger,
Morgan Freeman,
Chris Rock",Rolfe Kent,
09/08/2000,The Way of the Gun,Two criminal drifters kidnap and hold for ransom the surrogate mother of a money launderer and are hunted by several of his henchmen in Mexico.,Christopher McQuarrie,"Ryan Phillippe,
Benicio del Toro,
Juliette Lewis",Joe Kraemer,
09/22/2000,Almost Famous,"In 1973, a 15-year-old journalist writes a story for Rolling Stone Magazine about an up-and-coming rock band as he joins them on their concert tour.",Cameron Crowe,"Patrick Fugit,
Billy Crudup,
Frances McDormand",Nancy Wilson,
09/29/2000,Best in Show,A documentary dives into the highly competitive and cutthroat world of dog shows through the eyes of a group of ruthless owners of five dogs.,Christopher Guest,"Eugene Levy,
Catherine O'Hara,
John Michael Higgins",C. J. Vanston,
09/29/2000,Girlfight,"In Brooklyn, troubled teenager Diana, without her father knowing it, trains as a boxer and achieves success. She prepares to fight male friend Adrian.",Karyn Kusama,"Michelle Rodriguez,
Jaime Tirelli,
Paul Calderón","Gene McDaniels,
Theodore Shapiro",
09/29/2000,Remember the Titans,"In 1971, a beloved football coach is replaced by a tough black coach. They overcome differences as they turn rough high school boys into teammates.",Boaz Yakin,"Denzel Washington,
Will Patton,
Donald Faison",Trevor Rabin,
10/06/2000,Bamboozled,"With his assistant, a black TV writer who wants to get fired proposes a blackface minstrel show, but to his chagrin, it is a success thought to be satire.",Spike Lee,"Damon Wayans,
Savion Glover,
Jada Pinkett Smith",Terence Blanchard,
10/06/2000,Get Carter,A Las Vegas mob enforcer returns to Seattle to investigate his brother's death. He sees his niece and learns some women were drugged and killed.,Stephen Kay,"Sylvester Stallone,
Miranda Richardson,
Rachael Leigh Cook",Tyler Bates,
10/06/2000,Meet the Parents,"Male nurse Greg plans to see his girlfriend Pam's parents before he will propose. Her father Jack is suspicious, so Greg tries but fails to appease him.",Jay Roach,"Robert De Niro,
Ben Stiller,
Blythe Danner",Randy Newman,
10/06/2000,Requiem for a Dream,Four people suffer drug addictions that lead them to become imprisoned in a world of delusion and desperation. Each suffers as their lives fall apart.,Darren Aronofsky,"Ellen Burstyn,
Jared Leto,
Jennifer Connelly",Clint Mansell,
10/13/2000,Billy Elliot,"In 1984 England, an 11-year-old boy discovers a passion for ballet. He hides from his father secret lessons with a dance teacher who sees his talent.",Stephen Daldry,"Jamie Bell,
Julie Walters,
Gary Lewis",Stephen Warbeck,
10/13/2000,The Contender,"Senator Laine Hanson is a contender for U.S. Vice President, but disinformation about her past surfaces that threatens to derail her confirmation.",Rod Lurie,"Gary Oldman,
Joan Allen,
Jeff Bridges",Larry Groupé,
10/13/2000,The Ladies Man,"Late-night radio advice host Leon, along with his loyal producer, is fired from his Chicago gig. He gets a letter from a former lover promising wealth.",Reginald Hudlin,"Tim Meadows,
Karyn Parsons,
Billy Dee Williams",Marcus Miller,
10/20/2000,Bedazzled,The Devil in a woman's form agrees to give geeky Elliot seven wishes in exchange for his soul. Each effort to attract co-worker Alison fails with a twist.,Harold Ramis,"Brendan Fraser,
Elizabeth Hurley,
Frances O'Connor",David Newman,
10/27/2000,Book of Shadows: Blair Witch 2,"Tourists arrive in Burkittsville to explore the Blair Witch mythology and phenomenon, but they face their own neuroses and possibly the witch herself.",Joe Berlinger,"Kim Director,
Jeffrey Donovan,
Erica Leerhsen",Carter Burwell,
10/27/2000,Lucky Numbers,"A TV weatherman in financial ruin schemes with a lotto ball girl to rig the state lottery drawing. The plan works, but accomplices want their fair share.",Nora Ephron,"John Travolta,
Lisa Kudrow,
Tim Roth",George Fenton,
11/03/2000,Charlie's Angels,Three talented female private detectives are sent by a millioniare to find a mad software genius who created a revolutionary voice recognition system.,McG,"Cameron Diaz,
Drew Barrymore,
Lucy Liu",Edward Shearmur,
11/03/2000,The Legend of Bagger Vance,"In 1931 Georgia, a traumatized golfer attempts to recover his game and life with help from a strange caddy and while impressing an estranged lover.",Robert Redford,"Will Smith,
Matt Damon,
Charlize Theron",Rachel Portman,
11/10/2000,Little Nicky,"After two of Satan's sons escape Hell and block its entrance while causing havoc in New York, he sends his third, kind son to locate and trap them.",Steven Brill,"Adam Sandler,
Patricia Arquette,
Harvey Keitel",Teddy Castellucci,
11/10/2000,Men of Honor,"In 1948, Carl Brashear is determined to be the first black U.S. Navy diver. Leslie is his embittered trainer, determined to see him fail due to racism. ",George Tillman Jr.,"Robert De Niro,
Cuba Gooding Jr.,
Charlize Theron",Mark Isham,
11/10/2000,Red Planet,"In 2056, astronauts and their robotic dog AMEE go to Mars to save a dying Earth. They are forced to crash-land. They have oxygen but face danger.",Antony Hoffman,"Val Kilmer,
Carrie-Anne Moss,
Tom Sizemore",Graeme Revell,
11/17/2000,Bounce,"In Chicago, ad executive Buddy switches tickets with Greg, who dies in a plane crash. He falls for Greg's realtor wife Abby but hides his knowledge.",Don Roos,"Ben Affleck,
Gwyneth Paltrow,
Natasha Henstridge",Mychael Danna,
11/17/2000,How the Grinch Stole Christmas,"Outside Whoville, a misanthropic green creature hates the holiday season due to a tragic past. He tries to ruin spirit by stealing presents in disguise.",Ron Howard,"Jim Carrey,
Jeffrey Tambor,
Christine Baranski",James Horner,
11/17/2000,Rugrats in Paris: The Movie,"The Rugrats travel to Paris, France, where Chuckie hopes to find a new mother and keep his father from marrying an evil business woman.","Stig Bergqvist,
Paul Demeyer","E. G. Daily,
Tara Strong,
Cheryl Chase",Mark Mothersbaugh,Rugrats 2
11/17/2000,The 6th Day,"In the near future, human cloning is still illegal, but Adam returns home to find a clone of himself with family. A group who wants him dead attacks.",Roger Spottiswoode,"Arnold Schwarzenegger,
Michael Rapaport,
Tony Goldwyn",Trevor Rabin,
11/22/2000,Quills,"In a Napoleonic era insane asylum, an inmate, the irrepressible Marquis De Sade, fights a battle of wills against a tyrannically prudish doctor.",Philip Kaufman,"Geoffrey Rush,
Kate Winslet,
Joaquin Phoenix",Stephen Warbeck,
11/22/2000,Unbreakable,"The one survivor of a train crash, a security guard meets a man with a weak body who explains his endurance and pushes him to be a superhero.",M. Night Shyamalan,"Bruce Willis,
Samuel L. Jackson,
Robin Wright Penn",James Newton Howard,
12/08/2000,"Crouching Tiger, Hidden Dragon",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Ang Lee,"Chow Yun-fat,
Michelle Yeoh,
Zhang Ziyi",Tan Dun,
12/08/2000,Dungeons & Dragons,Teenage thieves Ridley and Snails are enlisted to help an empress who looks for a mythical rod that can control dragons. Evil mage Profion schemes.,Courtney Solomon,"Justin Whalin,
Marlon Wayans,
Thora Birch",Justin Caine Burnett,
12/08/2000,Proof of Life,"Alice hires a negotiator to obtain the release of her engineer husband, who has been kidnapped by anti-government guerrillas in South America.",Taylor Hackford,"Meg Ryan,
Russell Crowe,
David Morse",Danny Elfman,
12/08/2000,Snatch,"Boxing promoters, bookmakers, amateur robbers, a Russian gangster, and maybe-Jewish jewelers clash to track down a priceless stolen diamond.",Guy Ritchie,"Jason Statham,
Stephen Graham,
Brad Pitt",John Murphy,
12/15/2000,Chocolat,"In 1959 France, a woman and her daughter open a chocolate shop in a small village that shakes up the repressed townspeople just as Lent begins.",Lasse Hallström,"Juliette Binoche,
Judi Dench,
Alfred Molina",Rachel Portman,
12/15/2000,"Dude, Where's My Car?",Two best friend potheads wake up after a night of partying and cannot remember the previous night and where they parked their car.,Danny Leiner,"Ashton Kutcher,
Seann William Scott,
Kristy Swanson",David Kitay,
12/15/2000,Pollock,"In the 1940s, the abstract painter Jackson Pollock struggles with self-doubt, torn between conveying himself with art and hiding from life with alcohol.",Ed Harris,"Ed Harris,
Marcia Gay Harden,
Tom Bower",Jeff Beal,
12/15/2000,The Emperor's New Groove,Selfish Emperor Kuzco is turned into a llama by his ex-administrator Yzma. He tries to regain his throne with the help of gentle llama herder Pacha.,Mark Dindal,"David Spade,
John Goodman,
Eartha Kitt",John Debney,
12/15/2000,What Women Want,"After an accident, a chauvinistic advertising executive gains the ability to hear what women are really thinking.",Nancy Meyers,"Mel Gibson,
Helen Hunt,
Marisa Tomei",Alan Silvestri,
12/22/2000,Before Night Falls,"Reinaldo Arenas, a famed Cuban poet and novelist, is vilified and imprisoned for his homosexuality in Fidel Castro’s Cuba.",Julian Schnabel,"Javier Bardem,
Olivier Martinez,
Johnny Depp",Carter Burwell,
12/22/2000,Cast Away,"In 1995, FedEx executive Chuck's plane crashes in the South Pacific, leaving him on an island with just the company of a volleyball he names Wilson.",Robert Zemeckis,"Tom Hanks,
Helen Hunt,
Nick Searcy",Alan Silvestri,
12/22/2000,Finding Forrester,"In the Bronx, a black teenager is invited to attend a private high school. He befriends a reclusive writer, through whom he refines his writing talent.",Gus Van Sant,"Sean Connery,
Rob Brown,
F. Murray Abraham",Terence Blanchard,
12/22/2000,Miss Congeniality,An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.,Donald Petrie,"Sandra Bullock,
Michael Caine,
Benjamin Bratt",Edward Shearmur,
12/22/2000,"O Brother, Where Art Thou?","In 1937 Mississippi, three escaped convicts plan to go to one's home to recover the buried loot of a bank heist while a relentless lawman follows.","Joel Coen,
Ethan Coen","George Clooney,
John Turturro,
Tim Blake Nelson",T Bone Burnett,
12/22/2000,The Family Man,"Wall Street executive Jack left his girlfriend Kate years ago. After buying a man's lottery ticket, he wakes up on Christmas married with two children.",Brett Ratner,"Nicolas Cage,
Téa Leoni,
Don Cheadle",Danny Elfman,
12/22/2000,The Gift,"In Georgia, a widowed clairvoyant fortune teller is asked to find a school principal's fiancée. They find her body in the pond of an abusive husband.",Sam Raimi,"Cate Blanchett,
Giovanni Ribisi,
Keanu Reeves",Christopher Young,
12/25/2000,Thirteen Days,"In 1962, the Soviet Union sets nuclear weapons in Cuba. President John F. Kennedy and advisors must come up with a plan of action against them.",Roger Donaldson,"Kevin Costner,
Bruce Greenwood,
Steven Culp",Trevor Jones,
12/27/2000,Traffic,A judge learns his teen daughter is a crack addict. DEA agents protect an informant. A drug baron's wife attempts to continue their family's business.,Steven Soderbergh,"Don Cheadle,
Benicio Del Toro,
Michael Douglas",Cliff Martinez,
01/12/2001,Save the Last Dance,17-year-old Sara gives up ballet after her mother dies in a car accident. She joins a majority-black high school and starts a relationship with Derek.,Thomas Carter,"Julia Stiles,
Sean Patrick Thomas,
Terry Kinney",Mark Isham,
01/26/2001,The Wedding Planner,"In San Francisco, ambitious Mary is hired to plan a catering heiress's wedding to a pediatrician, but she falls for him herself even with another suitor.",Adam Shankman,"Jennifer Lopez,
Matthew McConaughey,
Bridgette Wilson-Sampras",Mervyn Warren,
02/09/2001,Hannibal,"Living in exile, Hannibal Lecter tries to reconnect with now disgraced FBI Agent Starling, and finds himself a target of a powerful victim's revenge.",Ridley Scott,"Anthony Hopkins,
Julianne Moore,
Gary Oldman",Hans Zimmer,Hannibal 2
02/09/2001,Saving Silverman,"Two friends try to save Darren from marrying his controlling new girlfriend, who threatens his true happiness and their Neil Diamond tribute band.",Dennis Dugan,"Jason Biggs,
Steve Zahn,
Jack Black",Mike Simpson,
02/16/2001,Down to Earth,"After dying too early, an aspiring black comic gets a second shot by being placed in the body of a white businessman. He finds success and love.","Chris Weitz,
Paul Weitz","Chris Rock,
Regina King,
Mark Addy",Jamshied Sharifi,
02/16/2001,Sweet November,"Workaholic executive Nelson decides to spend a month with Sara, who promises to change his life. The two fall in love, but she has terminal cancer.",Pat O'Connor,"Keanu Reeves,
Charlize Theron,
Jason Isaacs",Christopher Young,
02/23/2001,3000 Miles to Graceland,"Ex-cons rob a casino during an Elvis convention, but one chooses to betray the others. A survivor desiring the money meets a mother and her son.",Demian Lichtenstein,"Kurt Russell,
Kevin Costner,
Courteney Cox","George S. Clinton,
Richard Meijer",
02/23/2001,Monkeybone,"In a coma, cartoonist Stu's spirit is stuck in Down Town. He looks for a way to live again and races against his popular and mean monkey character.",Henry Selick,"Brendan Fraser,
Bridget Fonda,
Whoopi Goldberg",Anne Dudley,
03/02/2001,The Mexican,"Jerry tries to take an ancient gun believed to have a curse across a border. His girlfriend Samantha is abducted by Leroy, a hitman who befriends her.",Gore Verbinski,"Julia Roberts,
Brad Pitt,
James Gandolfini",Alan Silvestri,
03/09/2001,Get Over It,High school student Berke's girlfriend breaks up with him. His friend Felix's sister Kelly helps him with a musical: A Midsummer Night's Rockin' Eve.,Tommy O'Haver,"Kirsten Dunst,
Ben Foster,
Melissa Sagemiller",Steve Bartek,
