Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
02/07/2020,Timmy Failure: Mistakes Were Made,"In Portland, 11-year-old Timmy lives with a single mother and leads detective agency Total Failure Inc. with a polar bear. He seeks a stolen hamster.",Tom McCarthy,"Winslow Fegley,
Ophelia Lovibond,
Craig Robinson",Rolfe Kent,
02/12/2020,To All the Boys: P.S. I Still Love You,"While dating Peter, Lara Jean begins volunteering at a retirement home, where she reconnects with John Ambrose and befriends old woman Stormy.",Michael Fimognari,"Lana Condor,
Noah Centineo,
Jordan Fisher",Joe Wong,To All the Boys 2
02/14/2020,A Shaun the Sheep Movie: Farmageddon,Shaun and the flock befriend powerful alien Lu-La and return her home before the Ministry of Alien Detection's lead Agent Red proves her existence.,"Richard Phelan,
Will Becher","Justin Fletcher,
John Sparkes,
Amalia Vitale",Tom Howe,A Shaun the Sheep Movie 2
02/14/2020,Corpus Christi,"In Poland, although Daniel's criminal background prevents him from applying to the seminary, he decides to lie to minister at a small-town parish.",Jan Komasa,"Bartosz Bielenia,
Aleksandra Konieczna,
Eliza Rycembel","Evgueni Galperine,
Sacha Galperine",
02/14/2020,Fantasy Island,"When the owner of a luxurious island invites five guests with tragic pasts to live out their fantasies, chaos descends when their lives are endangered.",Jeff Wadlow,"Michael Peña,
Maggie Q,
Lucy Hale",Bear McCreary,
02/14/2020,Sonic the Hedgehog,"After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.",Jeff Fowler,"Ben Schwartz,
Jim Carrey,
James Marsden",Tom Holkenborg,
02/14/2020,The Photograph,"After a famed photographer dies unexpectedly, her daughter finds a photograph, delves into her mother’s early life, and falls for a rising journalist.",Stella Meghie,"Issa Rae,
Lakeith Stanfield,
Chelsea Peretti",Robert Glasper,
02/21/2020,Brahms: The Boy II,"After a family moves into the Heelshire Mansion, their quiet son soon becomes friends with a small, lifelike doll. His mother worries over its darkness.",William Brent Bell,"Katie Holmes,
Ralph Ineson,
Christopher Convery",Brett Detar,
02/21/2020,Emma.,"In Regency-era England, a wealthy young woman convinces her friend to reject a farmer's proposal for a local vicar, to her brother-in-law's disgust.",Autumn de Wilde,"Anya Taylor-Joy,
Johnny Flynn,
Josh O'Connor","Isobel Waller-Bridge,
David Schweitzer",
02/21/2020,The Call of the Wild,"In the 1890s, a gentle dog named Buck is stolen from his home, sent to the Yukon wilds, joins a mail sled team, and befriends an outdoorsman.",Chris Sanders,"Harrison Ford,
Omar Sy,
Cara Gee",John Powell,
02/21/2020,The Last Thing He Wanted,"In 1984, Atlantic Post journalist Elena stops her election coverage to care for her dying father. She inherits his Central America arms dealer position.",Dee Rees,"Anne Hathaway,
Ben Affleck,
Rosie Perez",Tamar-kali,
02/28/2020,All the Bright Places,"In Indiana, Violet deals with survivor guilt after the death of her sister, and Finch is a loner. They fall in love traveling to see sites chosen for a project.",Brett Haley,"Elle Fanning,
Justice Smith,
Alexandra Shipp",Keegan DeWitt,
02/28/2020,The Invisible Man,"Cecilia thinks she is being stalked by her abusive ex-boyfriend after his apparent suicide. Believed insane by others, she learns he can be invisible.",Leigh Whannell,"Elisabeth Moss,
Aldis Hodge,
Storm Reid",Benjamin Wallfisch,
03/06/2020,First Cow,"In 1820 Oregon, skilled chef Cookie joins a group of fur trappers. He befriends King-Lu, a Chinese immigrant on the run. They thrive with oily cakes.",Kelly Reichardt,"John Magaro,
Orion Lee,
Toby Jones",William Tyler,
03/06/2020,Onward,Teenage elf brothers Ian and Barley use a magic staff to bring their father back to life for one day. Their mother works with a manticore to find them.,Dan Scanlon,"Tom Holland,
Chris Pratt,
Julia Louis-Dreyfus","Mychael Danna,
Jeff Danna",
03/06/2020,Spenser Confidential,"After two Boston police officers are killed, ex-cop Spenser works with his roommate Hawk against dirty policemen and drug gangs building a casino.",Peter Berg,"Mark Wahlberg,
Winston Duke,
Alan Arkin",Steve Jablonsky,
03/06/2020,Swallow,"Hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous items. Her husband and his family tighten control.",Carlo Mirabella-Davis,"Haley Bennett,
Austin Stowell,
Elizabeth Marvel",Nathan Halpern,
03/06/2020,The Banker,"In the 1960s, two black entrepreneurs hire a white man to pretend to be the head of their business empire while they pose as a janitor and chauffeur.",George Nolfi,"Anthony Mackie,
Nicholas Hoult,
Samuel L. Jackson",H. Scott Salinas,
03/06/2020,The Way Back,"An alcoholic man who quit high school basketball takes a coaching job at his alma mater. The boys start to come together and win, but he struggles.",Gavin O'Connor,"Ben Affleck,
Al Madrigal,
Michaela Watkins",Rob Simonsen,
03/13/2020,Big Time Adolescence,16-year-old Mo comes of age under the guidance of his 23-year-old college dropout friend Zeke. Mo begins to bring drugs and alcohol to some parties.,Jason Orley,"Pete Davidson,
Griffin Gluck,
Emily Arlook","Zachary Dawes,
Nick Sena",
03/13/2020,Bloodshot,"After he and his wife are murdered, a marine is resurrected, enhanced with nanotechnology. His memories are manipulated as he kills enemies.",David S. F. Wilson,"Vin Diesel,
Eiza González,
Sam Heughan",Steve Jablonsky,
03/13/2020,I Still Believe,Christian music singer Jeremy Camp questions his faith as his girlfriend deals with ovarian cancer that seems to miraculously go away but returns.,"Andrew Erwin,
Jon Erwin","KJ Apa,
Britt Robertson,
Gary Sinise",John Debney,
03/13/2020,Never Rarely Sometimes Always,"When teenager Autumn cannot get an abortion in Pennsylvania without parental consent, she and her cousin Skylar ride on a bus to New York City.",Eliza Hittman,"Sidney Flanigan,
Talia Ryder,
Théodore Pellerin",Julia Holter,
03/13/2020,Stargirl,High school student Leo is drawn to a spirited girl who plays her ukulele and becomes a good luck charm for a football team. She works to conform.,Julia Hart,"Grace VanderWaal,
Graham Verchere,
Giancarlo Esposito",Rob Simonsen,
03/13/2020,The Hunt,"12 strangers wake up in a clearing. In the shadow of a dark internet conspiracy theory, elitists gather at a remote location to hunt humans for sport.",Craig Zobel,"Betty Gilpin,
Hilary Swank,
Ethan Suplee",Nathan Barr,
03/20/2020,Blow the Man Down,"In Maine, sisters Mary Beth and Priscilla work to cover up a murder. They search for a knife to hide their crime. They learn about secrets of a brothel.","Bridget Savage Cole,
Danielle Krudy","Morgan Saylor,
Sophie Lowe,
Annette O'Toole","Brian McOmber,
Jordan Dykstra",
04/03/2020,Coffee & Kareem,"After 12-year-old Kareem observes a shooting, he turns to his mother's cop boyfriend James to save themselves from Detroit's deadliest drug kingpin.",Michael Dowse,"Ed Helms,
Terrence Little Gardenhigh,
Taraji P. Henson",Joseph Trapanese,
04/10/2020,Trolls World Tour,"When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Poppy and her friends try different ways to save all the Trolls.",Walt Dohrn,"Anna Kendrick,
Justin Timberlake,
Rachel Bloom",Theodore Shapiro,Trolls 2
04/17/2020,Selah and the Spades,"Paloma transfers to Haldwell School and is thrust into the drama of five factions. One, which trades drugs, is led by senior Selah, who proves wicked.",Tayarisha Poe,"Lovie Simone,
Celeste O'Connor,
Jharrel Jerome",Aska Matsumiya,
04/17/2020,Sergio,"In 2003 Baghdad, a United Nations diplomat goes against his girlfriend's advice by helping Iraqis get freedom and negotiating for American withdrawal.",Greg Barker,"Wagner Moura,
Ana de Armas,
Garret Dillahunt",Fernando Velázquez,
04/22/2020,The Willoughbys,"Tim, Jane, Barnaby A, and Barnaby B plan better lives by sending their parents to deadly vacations. Their nanny Linda takes them to a candy factory.",Kris Pearn,"Will Forte,
Maya Rudolph,
Alessia Cara",Mark Mothersbaugh,
04/24/2020,Extraction,"In Bangladesh, a brave black market mercenary is recruited by a partner to rescue the kidnapped son of an Indian drug lord, but they are followed.",Sam Hargrave,"Chris Hemsworth,
Rudhraksh Jaiswal,
Randeep Hooda","Henry Jackman,
Alex Belcher,
Rony Hosen",
05/08/2020,Valley Girl,"In California, popular Julie, who breaks up with her boyfriend, meets city punk Randy. They fall in love and try to stay together despite her friends.",Rachel Lee Goldenberg,"Jessica Rothe,
Josh Whitehouse,
Mae Whitman",Roger Neill,
05/12/2020,Capone,"After years in prison, a former Chicago bootlegger suffers from neurosyphilis and dementia while living in Florida and is haunted by his violent past.",Josh Trank,"Tom Hardy,
Linda Cardellini,
Jack Lowden",El-P,
05/13/2020,The Wrong Missy,"Businessman Ted accidentally invites Missy, who had a disastrous first date with him, to a corporate retreat in Hawaii. Her hypnosis controls his boss.",Tyler Spindel,"David Spade,
Lauren Lapkus,
Nick Swardson",Mateo Messina,
05/15/2020,Scoob!,The Mystery Inc. gang face a plot to unleash the ghost dog Cerberus upon the world. They learn Scooby can unlock the gates to the Underworld.,Tony Cervone,"Will Forte,
Mark Wahlberg,
Jason Isaacs",Tom Holkenborg,
05/22/2020,The Lovebirds,"A couple for four years, Jibran and Leilani strike a cyclist with their car and witness a murder. Afraid of telling the police, they try to clear their names.",Michael Showalter,"Kumail Nanjiani,
Issa Rae,
Paul Sparks",Michael Andrews,
05/29/2020,The High Note,"Personal assistant Maggie, who dreams of being a music producer, works for superstar R&B singer Grace, who is pushed to accept a Las Vegas role.",Nisha Ganatra,"Dakota Johnson,
Tracee Ellis Ross,
Kelvin Harrison Jr.",Amie Doherty,
05/29/2020,The Vast of Night,"In 1950s New Mexico, switchboard operator Fay and radio DJ Everett discover a mysterious audio frequency that might be extraterrestrial in nature.",Andrew Patterson,"Sierra McCormick,
Jake Horowitz,
Gail Cronauer","Erick Alexander,
Jared Bulmer",
06/12/2020,Artemis Fowl,An Irish 12-year-old criminal prodigy hunts down a secret society of fairies to rescue his father. He meets elven officer Holly and a dwarf thief Mulch.,Kenneth Branagh,"Ferdia Shaw,
Lara McDonnell,
Josh Gad",Patrick Doyle,
06/12/2020,Da 5 Bloods,"Four black veterans return to Vietnam seeking the remains of their squad leader and the gold fortune he helped them hide, but they encounter gunmen.",Spike Lee,"Delroy Lindo,
Jonathan Majors,
Clarke Peters",Terence Blanchard,
06/12/2020,The King of Staten Island,"24-year-old Scott, whose firefighter father died, spends days smoking weed and wanting to be a tattoo artist. He is forced to grapple with his grief.",Judd Apatow,"Pete Davidson,
Marisa Tomei,
Bill Burr",Michael Andrews,
06/18/2020,7500,"After terrorists try to seize control of his flight, first officer pilot Tobias works to save his passengers and crew while connecting with Vedat, a hijacker.",Patrick Vollrath,"Joseph Gordon-Levitt,
Omid Memar,
Aylin Tezel",N/A,
06/18/2020,You Should Have Left,"Past banker Theo, his actress wife Susanna, and their daughter Ella vacation in a house in Wales. He notices spirits as he remembers his first wife.",David Koepp,"Kevin Bacon,
Amanda Seyfried,
Avery Essex",Geoff Zanelli,
06/26/2020,Eurovision Song Contest: The Story of Fire Saga,Húsavík musicians Lars and Sigrit represent their country in a competition. They befriend Russian Alexander and recognize their budding romance.,David Dobkin,"Will Ferrell,
Rachel McAdams,
Dan Stevens",Atli Örvarsson,
06/26/2020,Irresistible,"A Democratic strategist helps a retired veteran run for mayor in a small, conservative Wisconsin town against his Republican nemesis consultant.",Jon Stewart,"Steve Carell,
Rose Byrne,
Chris Cooper",Bryce Dessner,
06/26/2020,My Spy,A rough CIA operative and a tech operator sent to Chicago to quietly surveil an arm dealer's wife are blackmailed by her talented 9-year-old daughter.,Peter Segal,"Dave Bautista,
Chloe Coleman,
Kristen Schaal",Dominic Lewis,
07/03/2020,Relic,"Edna's daughter and her granddaughter rush to her remote home after she vanishes, finding clues of dementia all around the house in her absence.",Natalie Erika James,"Emily Mortimer,
Robyn Nevin,
Bella Heathcote",Brian Reitzell,
07/10/2020,Greyhound,"During World War II, an educated, inexperienced U.S. Navy commander oversees an Allied convoy being targeted by a German submarine wolfpack.",Aaron Schneider,"Tom Hanks,
Stephen Graham,
Rob Morgan",Blake Neely,
07/10/2020,Palm Springs,"At a wedding, Nyles and maid of honor Sarah get stuck in a time loop. As they develop a budding romance, they resolve to escape the daily resets.",Max Barbakow,"Andy Samberg,
Cristin Milioti,
J. K. Simmons",Matthew Compton,
07/10/2020,The Old Guard,Andy's team of immortal mercenaries is exposed and fight to keep their identity a secret as Marine Nile joins them. Executive Merrick captures them.,Gina Prince-Bythewood,"Charlize Theron,
KiKi Layne,
Matthias Schoenaerts","Volker Bertelmann,
Dustin O'Halloran",
07/24/2020,Radioactive,"In 1893, Marie begins a friendship with Pierre and discovers radioactivity. She obtains a Nobel Prize and oversees an X-ray unit on the Western Front.",Marjane Satrapi,"Rosamund Pike,
Sam Riley,
Aneurin Barnard","Evgueni Galperine,
Sacha Galperine",
07/24/2020,The Kissing Booth 2,"After Noah leaves for Harvard and seems to grow close with Chloe, Elle enters a dance competition with new student Marco as she debates colleges.",Vince Marcello,"Joey King,
Joel Courtney,
Jacob Elordi",Patrick Kirst,
07/24/2020,The Rental,"Charlie, girlfriend Michelle, his brother Josh, and Josh's girlfriend Mina rent a remote seaside home for a weekend getaway. A masked man murders.",Dave Franco,"Dan Stevens,
Alison Brie,
Sheila Vand","Danny Bensi,
Saunder Jurriaans",
08/06/2020,An American Pickle,"Trapped in pickle brine since 1919, Jewish worker Herschel awakes in Brooklyn after a century and joins his great-grandson, tired app developer Ben.",Brandon Trost,"Seth Rogen,
Sarah Snook,
Eliot Glazer",Nami Melumad,
08/07/2020,The Tax Collector,"In L.A., David and Creeper are enforcers who win a piece of the profits from 43 local gangs for their boss Wizard. Rival Conejo upends the business.",David Ayer,"Bobby Soto,
Shia LaBeouf,
Cinthya Carmona",Michael Yezerski,
08/14/2020,Fearless,Teen gamer Reid and school partner Melanie try to return Lightspeed's three powerful babies to a game they came from when they arrive on Earth.,Cory Edwards,"Yara Shahidi,
Miles Robbins,
Jadakiss",Anne-Kathrin Dern,
08/14/2020,Magic Camp,"Andy, at the urging of his former mentor Roy, is a counselor at a camp where four cabins face each other in a magic bout. He reunites with Darkwood.",Mark Waters,"Adam DeVine,
Jeffrey Tambor,
Gillian Jacobs",Rolfe Kent,
08/14/2020,Project Power,"In New Orleans, a teenage dealer and a local cop team with an ex-soldier to take down the group that created a pill that gives users superpowers.","Henry Joost,
Ariel Schulman","Jamie Foxx,
Joseph Gordon-Levitt,
Dominique Fishback",Joseph Trapanese,
08/21/2020,Chemical Hearts,"Teenager Henry becomes one of two high school newspaper editors. The other, Grace, has a limp. The two bond, but she loves her dead boyfriend.",Richard Tanne,"Austin Abrams,
Lili Reinhart,
Sarah Jones",Stephen James Taylor,
08/21/2020,The One and Only Ivan,"In 1973, gorilla Ivan works to understand his past with elephant Ruby's help. He schemes a plan to escape from captivity by using his drawing skills.",Thea Sharrock,"Sam Rockwell,
Angelina Jolie,
Danny DeVito",Craig Armstrong,
08/21/2020,Unhinged,"In New Orleans, the mother of a 15-year-old son young woman is terrorized by a mentally unstable and barbaric stranger after a road rage incident.",Derrick Borte,"Russell Crowe,
Caren Pistorius,
Gabriel Bateman",David Buckley,
08/28/2020,All Together Now,"In Portland, Amber and her mother are homeless, having to sleep in a school bus. Her friends help her fulfill music dreams and fundraise for her dog.",Brett Haley,"Auliʻi Cravalho,
Rhenzy Feliz,
Judy Reyes",Keegan DeWitt,
08/28/2020,Bill & Ted Face the Music,Bill and Ted decide to travel through time to steal a hit song that can unite the world from their older selves. Their daughters devise their own scheme.,Dean Parisot,"Keanu Reeves,
Alex Winter,
Kristen Schaal",Mark Isham,Bill & Ted 3
08/28/2020,Get Duked!,"In Scotland, problem students Dean, Duncan, and DJ Beatroot and bookish Ian escape a huntsman firing at them. Local police look for a bread thief.",Ninian Doff,"Samuel Bottomley,
Viraj Juneja,
Rian Gordon",Alex Menzies,
08/28/2020,I'm Thinking of Ending Things,"Full of misgivings, a young woman heads with her new boyfriend to his parents' secluded farm and has odd memory. A janitor works at a high school.",Charlie Kaufman,"Jesse Plemons,
Jessie Buckley,
Toni Collette",Jay Wadley,
08/28/2020,Phineas and Ferb the Movie: Candace Against the Universe,Phineas and Ferb try to save sister Candace and Doofenshmirtz daughter Vanessa from the planet Feebla-Oot. Candace becomes tempted to stay.,Bob Bowen,"Vincent Martella,
Ashley Tisdale,
David Errigo Jr.",Danny Jacob,
08/28/2020,The Binge,"In 2032, drugs and alcohol are banned except for one day a year. Griffin plans to ask his principal's daughter to prom. Friends Andrew and Hags join.",Jeremy Garelick,"Skyler Gisondo,
Eduardo Franco,
Dexter Darden",Matt Bowen,
08/28/2020,The New Mutants,"Five teenage mutants, discovering their abilities while held in an empty hospital against their will, fight to escape past sins and save themselves.",Josh Boone,"Blu Hunt,
Maisie Williams,
Anya Taylor-Joy",Mark Snow,
08/28/2020,The Personal History of David Copperfield,"In England, David works at mean Mr. Murdstone's factory, returns to his aunt Betsey, attends a boys' school, falls in love with Dora, and catches crime.",Armando Iannucci,"Dev Patel,
Aneurin Barnard,
Peter Capaldi",Christopher Willis,
09/03/2020,"Love, Guaranteed","In Seattle, lawyer Susan takes a high-paying case from Nick, wants to sue a dating website claiming love is certain. They build their own relationship.",Mark Steven Johnson,"Rachael Leigh Cook,
Damon Wayans Jr.,
Caitlin Howden",Ryan Shore,
09/03/2020,Tenet,"Armed with only one word, the Protagonist must travel through time and bend the laws of nature in order to be successful in his espionage mission.",Christopher Nolan,"John David Washington,
Robert Pattinson,
Elizabeth Debicki",Ludwig Göransson,
09/04/2020,Mulan,"In Imperial China, a maiden disguises herself as a male warrior to take her father's place during a general conscription to counter the Rouran army.",Niki Caro,"Yifei Liu,
Donnie Yen,
Gong Li",Harry Gregson-Williams,
09/10/2020,The Babysitter: Killer Queen,"To escape a psychiatric school, high school junior Cole attends a lake party with Melanie, who has entered an evil cult. He and Phoebe try to survive.",McG,"Judah Lewis,
Emily Alyn Lind,
Jenna Ortega",Bear McCreary,The Babysitter 2
09/10/2020,Unpregnant,"In Missouri, pregnant 17-year-old Veronica learns she cannot get an abortion without her parents' permission so heads to Albuquerque with Bailey.",Rachel Lee Goldenberg,"Haley Lu Richardson,
Barbie Ferreira,
Alex MacNicoll",Roger Neill,
09/11/2020,The Broken Hearts Gallery,"In New York City, after a breakup, a young female hoarder decides to start a pop-up gallery where people can leave trinkets from past relationships.",Natalie Krinsky,"Geraldine Viswanathan,
Dacre Montgomery,
Utkarsh Ambudkar",Genevieve Vincent,
09/11/2020,The Devil All the Time,"In Knockemstiff, Willard prays for his ill wife. Their son Arvin starts crime. A preacher thinks he can bring back the dead. A couple murder hitchhikers.",Antonio Campos,"Tom Holland,
Bill Skarsgård,
Robert Pattinson","Danny Bensi,
Saunder Jurriaans",
09/18/2020,Antebellum,"In Louisiana, successful black author Veronica is trapped in a slave plantation and works to escape with a phone from extreme Civil War reenactors.","Gerard Bush,
Christopher Renz","Janelle Monáe,
Eric Lange,
Jena Malone","Nate Wonder,
Roman Gianarthur",
09/23/2020,Enola Holmes,"When Sherlock's 16-year-old sister discovers her mother missing, she sets off to find her, solving a conspiracy around a runaway young Lord's vote.",Harry Bradbeer,"Millie Bobby Brown,
Sam Claflin,
Henry Cavill",Daniel Pemberton,
09/25/2020,Ava,"A deadly assassin specializes in high-profile hits. When a German general job goes awry, she must survive attacks from the organization she helped.",Tate Taylor,"Jessica Chastain,
John Malkovich,
Common",Bear McCreary,
09/25/2020,Secret Society of Second-Born Royals,Second-born royal Sam of Illyria joins a society of superpowered individuals dedicated to protecting the world. They face Edmond and another traitor.,Anna Mastro,"Peyton Elizabeth Lee,
Niles Fitch,
Isabella Blake-Thomas",Leo Birenberg,
09/25/2020,The Trial of the Chicago 7,"In 1968, the Democratic National Convention is met with protests that lead to a violent clash with police. Eight are accused of being ringleaders.",Aaron Sorkin,"Eddie Redmayne,
Sacha Baron Cohen,
Alex Sharp",Daniel Pemberton,
09/30/2020,The Boys in the Band,"In 1968 Manhattan, seven gay friends gather for Harold's birthday party. Straight Alan comes and witnesses a drunken game with unspoken truths.",Joe Mantello,"Jim Parsons,
Zachary Quinto,
Matt Bomer",N/A,
10/02/2020,On the Rocks,Novelist Laura thinks her businessman husband Dean is cheating on her. She confides her doubts to her flirty art dealer father Felix. He investigates.,Sofia Coppola,"Bill Murray,
Rashida Jones,
Marlon Wayans",Phoenix,
10/06/2020,Black Box,"When he loses his wife and his memory in a car crash, single father Nolan undergoes a treatment that brings a neurologist's son's mind to his body.",Emmanuel Osei-Kuffour Jr.,"Mamoudou Athie,
Phylicia Rashad,
Amanda Christine",Brandon Roberts,
10/06/2020,The Lie,"Divorced father Jay drives his daughter Kayla to a ballet retreat. On the journey, they pick up Britney, who disappears. Kayla's parents suspect a crime.",Veena Sud,"Mireille Enos,
Peter Sarsgaard,
Joey King",Tamar-kali,
10/07/2020,Books of Blood,Jenna stays at an old couple's bed and breakfast. Mary talks to her dead son using psychic Simon. Bennett seeks a rare tome worth a million dollars.,Brannon Braga,"Britt Robertson,
Anna Friel,
Rafi Gavron","Joel J. Richard,
Tyler Bates",
10/07/2020,Hubie Halloween,"In Salem during Halloween, deli employee Hubie monitors the city when people who bullied him are kidnapped. He reconnects with a sergeant's wife.",Steven Brill,"Adam Sandler,
Kevin James,
Julie Bowen",Rupert Gregson-Williams,
10/08/2020,Charm City Kings,"In Baltimore, 14-year-old Mouse wants to join the Midnight Clique motorbike gang. He starts to ditch his animal hospital job for biker Blax's auto shop.",Angel Manuel Soto,"Jahi Di'Allo Winston,
Meek Mill,
Will Catlett",Alex Somers,
10/08/2020,The Craft: Legacy,"Lily, who has telekinesis, joins high school friends Frankie, Tabby, and Lourdes in their exploration of witchcraft. A school bully's death shakes them.",Zoe Lister-Jones,"Cailee Spaeny,
Gideon Adlon,
Lovie Simone",Heather Christian,The Craft 2
10/09/2020,The War with Grandpa,"Upset that he has to share his bedroom with his grandfather, Peter declares a prank war to get it back. Their plans slowly escalate in their chaos.",Tim Hill,"Robert De Niro,
Oakes Fegley,
Uma Thurman",Aaron Zigman,
10/13/2020,Evil Eye,"In New Orleans, Pallavi starts a relationship with Sandeep. Her mother Usha soon believes he is a reincarnation of a man who attempted to kill her.","Elan Dassani,
Rajeev Dassani","Sarita Choudhury,
Sunita Mani,
Omar Maskati",Ronit Kirchman,
10/13/2020,Nocturne,Juliet and Vivian are twin pianists in their last year at Lindberg Academy. Juliet reads from dead girl Moira's theory notebook. Her luck then improves.,Zu Quirke,"Sydney Sweeney,
Madison Iseman,
Jacques Colimon",Gazelle Twin,
10/15/2020,A Babysitter's Guide to Monster Hunting,"Babysitter Kelly embarks on a mission to rescue a child abducted by the Boogeyman on Halloween. She is helped by Liz, a member of a larger order.",Rachel Talalay,"Tamara Smart,
Oona Laurence,
Tom Felton",Matthew Margeson,
10/16/2020,Bad Hair,"In 1989, assistant Anna gets a weave to succeed at the Culture music television channel. Her new hair has a mind, possesses her, and drains blood.",Justin Simien,"Elle Lorraine,
Vanessa Williams,
Jay Pharoah",Kris Bowers,
10/16/2020,Clouds,"In 2012, musician Zach learns his growing cancer is terminal. His friend Sammy shares their music on YouTube. He begins a relationship with Amy.",Justin Baldoni,"Fin Argus,
Sabrina Carpenter,
Madison Iseman",Brian Tyler,
10/16/2020,Honest Thief,"In Boston, wanting to lead an honest life after he falls in love, a notorious bank robber turns himself in, only to be double-crossed by two FBI agents.",Mark Williams,"Liam Neeson,
Kate Walsh,
Jai Courtney",Mark Isham,
10/16/2020,Love and Monsters,"After monsters have killed most humans, kitchen worker Joel leaves his bunker to reunite with his girlfriend Aimee. Survivors Clyde and Minnow aid.",Michael Matthews,"Dylan O'Brien,
Jessica Henwick,
Dan Ewing","Marco Beltrami,
Marcus Trumpp",
10/16/2020,Rebecca,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding the intimidation of his first spouse's ghostly presence.,Ben Wheatley,"Lily James,
Armie Hammer,
Kristin Scott Thomas",Clint Mansell,
10/22/2020,The Witches,"In 1968, a young boy and his grandmother clash with a coven of witches and their leader, who plan to give all children a potion to turn them into mice.",Robert Zemeckis,"Anne Hathaway,
Octavia Spencer,
Stanley Tucci",Alan Silvestri,
10/23/2020,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Kazakh journalist Borat offers his daughter Tutar as a bride to U.S. vice president Mike during the COVID-19 pandemic and a presidential election.,Jason Woliner,"Sacha Baron Cohen,
Maria Bakalova,
Dani Popescu",Erran Baron Cohen,Borat 2
