Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
03/02/1933,King Kong,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star.,"Merian C. Cooper,
Ernest B. Schoedsack","Fay Wray,
Robert Armstrong,
Bruce Cabot",Max Steiner,
08/18/1933,Morning Glory,"When a naively innocent, aspiring actress arrives on the Broadway scene, she is taken under the wing of theater veterans who lead her to success.",Lowell Sherman,"Katharine Hepburn,
Douglas Fairbanks Jr.,
Adolphe Menjou",Max Steiner,
09/13/1933,Lady for a Day,"In New York, aging fruit seller Apple Annie, long separated from her daughter, has lied in letters of her aristocracy. A gangster helps her act ladylike.",Frank Capra,"May Robson,
Warren William,
Guy Kibbee",Howard Jackson,
09/21/1933,The Private Life of Henry VIII,"In 1536, a king's wife Anne is executed. His third wife dies in childbirth, his fourth sneakily divorces him, his fifth loves a courtier, and his last is bossy.",Alexander Korda,"Charles Laughton,
Binnie Barnes,
Robert Donat",Kurt Schröder,
11/13/1933,The Invisible Man,"Doctor Jack Griffin is covered in bandages and his eyes are hidden, the result of an experiment that made him invisible and murderously insane.",James Whale,"Claude Rains,
Gloria Stuart,
William Harrigan",Heinz Roemheld,
11/16/1933,Little Women,"In 1860s Massachusetts, the four March sisters and their mother confront growing pains, financial shortages, family tragedy, and romantic rivalries.",George Cukor,"Katharine Hepburn,
Joan Bennett,
Paul Lukas",Max Steiner,
11/17/1933,Duck Soup,Rufus T. Firefly is named president of bankrupt Freedonia and declares war on neighboring rival Sylvania over the love of wealthy Mrs. Teasdale.,Leo McCarey,"Groucho Marx,
Harpo Marx,
Chico Marx","Bert Kalmar,
Harry Ruby",
12/22/1933,Son of Kong,Filmmaker Carl Denham returns to Skull Island to find treasure. He bandages the injured finger of a large but kind albino gorilla he names Little Kong.,Ernest B. Schoedsack,"Robert Armstrong,
Helen Mack,
Frank Reicher",Max Steiner,1933 King Kong 2
02/22/1934,It Happened One Night,"Pampered socialite Ellie runs away from family to New York and is helped by Peter, an unemployed reporter in need of a story. The couple fall in love.",Frank Capra,"Clark Gable,
Claudette Colbert,
Walter Connolly","Howard Jackson,
Louis Silvers",
05/25/1934,The Thin Man,"Former detective Nick Charles and his wealthy wife Nora investigate a case of a a missing man and a murdered secretary, mostly for the fun of it.",W. S. Van Dyke,"William Powell,
Myrna Loy,
Maureen O'Sullivan",William Axt,
11/30/1934,Broadway Bill,"Dan leaves a job at his father-in-law's factory so he can race his thoroughbred horse Bill. Alice, his wife's giving sister, helps him achieve his dreams.",Frank Capra,"Warner Baxter,
Myrna Loy,
Walter Connolly",N/A,
04/20/1935,Bride of Frankenstein,"Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.",James Whale,"Boris Karloff,
Colin Clive,
Valerie Hobson",Franz Waxman,Frankenstein 2
05/09/1935,The Informer,"In 1922 Dublin, Gypo has been kicked out of the outlaw IRA. When he sees his girlfriend destitute, he betrays his ex-comrade for a 20 pound reward.",John Ford,"Victor McLaglen,
Heather Angel,
Preston Foster",Max Steiner,
05/13/1935,Werewolf of London,"After botanist Wilfred goes to Tibet to look for the mariphasa plant, he returns to a London haunted by murders committed by depraved werewolves.",Stuart Walker,"Henry Hull,
Warner Oland,
Valerie Hobson",Karl Hajos,
08/01/1935,The 39 Steps,"After a counter-espionage agent is killed in London, a man must go on the run and stop a spy ring trying to steal top secret information.",Alfred Hitchcock,"Robert Donat,
Madeleine Carroll,
Lucie Mannheim","Louis Levy,
Jack Beaver",
08/29/1935,Top Hat,"American tap dancer Jerry comes to London and falls for model Dale, whom he initially annoyed. She mistakes him for his goofy, married producer.",Mark Sandrich,"Fred Astaire,
Ginger Rogers,
Edward Everett Horton","Irving Berlin,
Max Steiner",
11/15/1935,A Night at the Opera,"In Milan, a sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their snobbish enemies.",Sam Wood,"Groucho Marx,
Chico Marx,
Harpo Marx",Herbert Stothart,
12/19/1935,Captain Blood,"An Irish doctor is exiled as a governor's slave in Jamaica, where he captures a Spanish galleon and becomes a famous pirate in the Caribbean.",Michael Curtiz,"Errol Flynn,
Olivia de Havilland,
Basil Rathbone",Erich Wolfgang Korngold,
02/05/1936,Modern Times,A little tramp copes with the mechanized world as a factory assembly line worker. He meets orphan girl Ellen. The two struggle to run away together.,Charlie Chaplin,"Charlie Chaplin,
Paulette Goddard,
Henry Bergman",Charlie Chaplin,
03/22/1936,The Great Ziegfeld,"Starting by promoting single performers, Ziegfeld establishes revues featuring dozens of women, developing into his Ziegfeld Follies on Broadway.",Robert Z. Leonard,"William Powell,
Myrna Loy,
Luise Rainer","Walter Donaldson,
Harold Adamson",
04/12/1936,Mr. Deeds Goes to Town,"In Vermont, Longfellow Deeds inherits $20 million from his deceased uncle. He is pressed by those who wish to exploit him. A sanity hearing is held.",Frank Capra,"Gary Cooper,
Jean Arthur,
George Bancroft",N/A,
06/15/1936,Secret Agent,"In 1916 during World War I, three British agents are asked to assassinate a mysterious German spy, but two have conflicts with their consciences.",Alfred Hitchcock,"John Gielgud,
Peter Lorre,
Madeleine Carroll",John Greenwood,
09/04/1936,Swing Time,"A roguish gambler and dancer is challenged by his fiancé's father to earn $25,000 to prove his worth, but he falls in love with a dance instructor.",George Stevens,"Fred Astaire,
Ginger Rogers,
Victor Moore","Jerome Kern,
Dorothy Fields",
09/06/1936,My Man Godfrey,"A scatterbrained socialite with a spoiled big sister hires a forgotten vagrant as a family butler, but he is actually an elite man who considered suicide.",Gregory La Cava,"William Powell,
Carole Lombard,
Alice Brady","Charles Previn,
Rudy Schrager",
09/23/1936,Dodsworth,A retired auto manufacturer and his wife begin a long-planned European vacation only to drift apart befriending and falling for a divorcee and a baron.,William Wyler,"Walter Huston,
Ruth Chatterton,
Paul Lukas",Alfred Newman,
12/25/1936,After the Thin Man,"In his home in San Francisco on New Year's Eve, Nick investigates the case of a missing man and later a murder that is connected to Nora's family.",W. S. Van Dyke,"William Powell,
Myrna Loy,
James Stewart","Herbert Stothart,
Edward Ward",Thin Man 2
01/29/1937,The Good Earth,"In China, though farmer Wang Lung and his wife O-Lan initially experience success, their lives are complicated by declining fortunes and lean times.",Sidney Franklin,"Paul Muni,
Luise Rainer,
Walter Connolly","Herbert Stothart,
Edward Ward",
04/20/1937,A Star Is Born,"Farmgirl Esther goes to Hollywood and achieves dreams of stardom with support from Norman, an alcoholic leading man whose own career falters.",William A. Wellman,"Janet Gaynor,
Fredric March,
Adolphe Menjou",Max Steiner,
05/07/1937,Shall We Dance,"A ballet star boards the same ship as the dancer and musical star he has fallen for. They fake a marriage for publicity purposes, then fall in love.",Mark Sandrich,"Fred Astaire,
Ginger Rogers,
Edward Everett Horton","George Gershwin,
Ira Gershwin",
05/11/1937,Captains Courageous,"A spoiled brat falls overboard from a steamship. He gets picked up by a fishing schooner, where he works with a fisherman crew for three months.",Victor Fleming,"Freddie Bartholomew,
Spencer Tracy,
Lionel Barrymore",Franz Waxman,
06/11/1937,A Day at the Races,"A sanitarium owner, a veterinarian pretending to be a doctor, and a racehorse owner struggle to pay for a sanitarium to prevent a banker buying it.",Sam Wood,"Groucho Marx,
Harpo Marx,
Chico Marx","Walter Jurmann,
Bronislau Kaper,
Franz Waxman",
09/01/1937,Lost Horizon,"In 1935, when a wise diplomat's plane crashes in Tibet, he and the survivors are led to Shangri-La, where they deal with the naming of a successor.",Frank Capra,"Ronald Colman,
Jane Wyatt,
Edward Everett Horton",Dimitri Tiomkin,
10/15/1937,Heidi,"A plucky orphan gets dumped abruptly into her gruff, hermit grandfather's care. She gets retaken and delivered as a companion for a disabled girl.",Allan Dwan,"Shirley Temple,
Jean Hersholt,
Arthur Treacher","David Buttolph,
Charles Maxwell,
Ernst Toch",
12/21/1937,Snow White and the Seven Dwarfs,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",David Hand,"Adriana Caselotti,
Lucille La Verne,
Harry Stockwell","Frank Churchill,
Paul Smith,
Leigh Harline",
02/16/1938,Bringing Up Baby,"While trying to secure a donation for his museum, a befuddled paleontologist is pursued by a flighty, often irritating heiress and her pet leopard Baby.",Howard Hawks,"Katharine Hepburn,
Cary Grant,
Charles Ruggles",Roy Webb,
05/14/1938,The Adventures of Robin Hood,"When Prince John and lords begin oppressing the masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel army.","Michael Curtiz,
William Keighley","Errol Flynn,
Olivia de Havilland,
Basil Rathbone",Erich Wolfgang Korngold,
08/05/1938,Alexander's Ragtime Band,"In 1915 San Francisco, Roger organizes a jazz band that attains success. He falls in love with his singer Stella but thwarts her efforts to be a star.",Henry King,"Tyrone Power,
Alice Faye,
Don Ameche","Irving Berlin,
Alfred Newman",
08/09/1938,Four Daughters,"Widowed flute player Adam Lemp and his musical daughters live happily together, but a composer injects himself into the daughters' romantic lives.",Michael Curtiz,"Priscilla Lane,
Rosemary Lane,
Lola Lane",Max Steiner,
09/01/1938,You Can't Take It with You,"Tony, a banker's son from a family of rich snobs, becomes engaged to Alice, a stenographer from an eccentric family that refuses to sell its house.",Frank Capra,"Jean Arthur,
Lionel Barrymore,
James Stewart",Dimitri Tiomkin,
09/09/1938,Boys Town,"When a death row prisoner tells him he would not have led a life of crime if he had had one friend, Father Flanagan decides to start a home for boys.",Norman Taurog,"Spencer Tracy,
Mickey Rooney,
Henry Hull",Edward Ward,
11/01/1938,The Lady Vanishes,"While travelling in continental Europe, a wealthy young playgirl realizes that an elderly governess seems to have disappeared from the train.",Alfred Hitchcock,"Margaret Lockwood,
Michael Redgrave,
Paul Lukas","Louis Levy,
Charles Williams",
11/26/1938,Angels with Dirty Faces,"Arrested young, Rocky becomes a gangster. His friend Jerry becomes a Catholic priest who tries to protect street kids from Rocky's bad influence.",Michael Curtiz,"James Cagney,
Pat O'Brien,
The Dead End Kids",Max Steiner,
12/16/1938,A Christmas Carol,"In 1800s London, miser Ebenezer Scrooge has a change of heart after three spirits whisk him into the past, present, and future on a Christmas Eve.",Edwin L. Marin,"Reginald Owen,
Gene Lockhart,
Kathleen Lockhart",Franz Waxman,
01/13/1939,Son of Frankenstein,"The son of Dr. Frankenstein meets a hunchback hiding the comatose creature. To clear his family name, he revives and tries to refresh the monster.",Rowland V. Lee,"Basil Rathbone,
Boris Karloff,
Bela Lugosi",Frank Skinner,Frankenstein 3
01/24/1939,Gunga Din,"In 1800s India, three British soldiers and a native waterbearer must stop the secret mass revival of the murderous Thuggee cult before it can attack.",George Stevens,"Cary Grant,
Victor McLaglen,
Douglas Fairbanks Jr.",Alfred Newman,
03/02/1939,Stagecoach,"In 1880, a group of people traveling on a coach to New Mexico find their long journey threatened by Geronimo and his Apaches and meet each other.",John Ford,"Claire Trevor,
John Wayne,
Andy Devine",Gerard Carbonara,
03/24/1939,The Hound of the Baskervilles,Sherlock Holmes investigates the dark legend of a demonic dog that may be stalking the heir on the fog-shrouded land that makes up his estate.,Sidney Lanfield,"Richard Greene,
Basil Rathbone,
Wendy Barrie","David Buttolph,
Charles Maxwell,
Cyril J. Mockridge,
David Raksin",
03/24/1939,Wuthering Heights,A traveler is caught in the snow and stays at an estate with cold host Heathcliff. His housekeeper tells the tragic story of the love of him and Cathy.,William Wyler,"Merle Oberon,
Laurence Olivier,
David Niven",Alfred Newman,
06/09/1939,Young Mr. Lincoln,"Abraham Lincoln is born into a modest log cabin, where he is encouraged by his first love to pursue law. He defends two brothers accused of murder.",John Ford,"Henry Fonda,
Alice Brady,
Marjorie Weaver",Alfred Newman,
08/25/1939,The Wizard of Oz,"Dorothy is swept away from Kansas to Oz in a tornado and embarks on a quest with new friends to see the Wizard, who can help her return home.",Victor Fleming,"Judy Garland,
Frank Morgan,
Ray Bolger","Harold Arlen,
Herbert Stothart",
10/19/1939,Mr. Smith Goes to Washington,The head of the Boy Rangers is appointed to fill a vacancy in the U.S. Senate. His bill to loan money for a boys' camp conflicts with political corruption.,Frank Capra,"Jean Arthur,
James Stewart,
Claude Rains",Dimitri Tiomkin,
10/20/1939,At the Circus,"Circus owner Jeff owes partner Carter $10,000, but Carter's two accomplices steal it. The lawyer Loophole, Tony, and Punchy try to find the money.",Edward Buzzell,"Groucho Marx,
Chico Marx,
Harpo Marx",Franz Waxman,
11/17/1939,Another Thin Man,An explosives manufacturer getting death threats suspects a young man is out to kill him. He calls in new parents Nick and Nora to sort things out.,W. S. Van Dyke,"William Powell,
Myrna Loy,
Virginia Grey",Edward Ward,Thin Man 3
12/15/1939,Gone with the Wind,"In the 1860s, Scarlett, the spoiled daughter of a plantation owner, is forced to marry and and lie to get out of poverty. Cynical Rhett proposes to her.",Victor Fleming,"Clark Gable,
Vivien Leigh,
Leslie Howard",Max Steiner,
01/12/1940,The Shop Around the Corner,"In Budapest, two employees at a leathergoods shop barely get along, but they fall in love through the post as each other's anonymous letter writer.",Ernst Lubitsch,"Margaret Sullavan,
James Stewart,
Frank Morgan",Werner R. Heymann,
01/18/1940,His Girl Friday,The reporter ex-wife of a newspaper editor is engaged and will be getting remarried the next day. The editor frames her fiancé to stop them.,Howard Hawks,"Cary Grant,
Rosalind Russell,
Ralph Bellamy",N/A,
01/24/1940,The Grapes of Wrath,"In Oklahoma, the poor Joads are forced off their land. They move to California and suffer the pains of the homeless workers in the Great Depression.",John Ford,"Henry Fonda,
Jane Darwell,
John Carradine",Alfred Newman,
02/07/1940,Pinocchio,"A living wooden puppet built by a lonely toymaker, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.","Ben Sharpsteen,
Hamilton Luske","Cliff Edwards,
Dickie Jones,
Christian Rub","Leigh Harline,
Paul J. Smith",
04/12/1940,Rebecca,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding the intimidation of his first spouse's ghostly presence.,Alfred Hitchcock,"Laurence Olivier,
Joan Fontaine,
Judith Anderson",Franz Waxman,
08/16/1940,Foreign Correspondent,"Before World War II, American reporter John tries to expose enemy German agents in London. He witnesses the shooting of an odd Dutch diplomat.",Alfred Hitchcock,"Joel McCrea,
Laraine Day,
Herbert Marshall",Alfred Newman,
10/31/1940,The Great Dictator,Ruthless dictator Adenoid Hynkel tries to expand his empire. An amnesiac ex-private Jewish barber tries to avoid persecution with neighbor Hannah.,Charlie Chaplin,"Charlie Chaplin,
Paulette Goddard,
Jack Oakie","Charlie Chaplin,
Meredith Willson",
11/13/1940,Fantasia,"Animators present shorts set to music like ""Rite of Spring"", ""The Sorcerer's Apprentice"", ""Night on Bald Mountain"", and ""The Nutcracker Suite"".","Samuel Armstrong,
James Algar,
Bill Roberts,
Paul Satterfield,
Ben Sharpsteen,
David D. Hand,
Hamilton Luske,
Jim Handley,
Ford Beebe,
T. Hee,
Norman Ferguson,
Wilfred Jackson","Leopold Stokowski,
Deems Taylor",N/A,
11/22/1940,The Letter,"In Singapore, a plantation manager's wife shoots a man, killing him, and claims self-defense. Her attorney finds an incriminating note written by her.",William Wyler,"Bette Davis,
Herbert Marshall,
James Stephenson",Max Steiner,
11/29/1940,Tin Pan Alley,"Two struggling songwriters team up with singer sisters who help them gain fame. After a betrayal, the sisters depart. The men enlist in World War I.",Walter Lang,"Alice Faye,
Betty Grable,
Jack Oakie",Alfred Newman,
12/06/1940,Go West,A con man and two brothers head west for money and attempt to unite a couple by retrieving a deed taken by a railroad executive and a saloon owner.,Edward Buzzell,"Groucho Marx,
Harpo Marx,
Chico Marx","George Bassman,
Georgie Stoll",
12/26/1940,The Philadelphia Story,"When a rich woman's ex-husband and a reporter turn up just before her planned remarriage, she begins to learn the truth about her own desires.",George Cukor,"Cary Grant,
Katharine Hepburn,
James Stewart",Franz Waxman,
03/12/1941,Meet John Doe,A drifter is recruited by an ambitious columnist to pretend to be a fake man who planned to commit suicide as a protest. A political movement begins.,Frank Capra,"Gary Cooper,
Barbara Stanwyck,
Edward Arnold",Dimitri Tiomkin,
05/01/1941,Citizen Kane,"After publishing tycoon Charles Foster Kane dies, reporters scramble to understand his complex life and the meaning of his final utterance ""Rosebud"".",Orson Welles,"Orson Welles,
Joseph Cotten,
Dorothy Comingore",Bernard Herrmann,
06/20/1941,The Big Store,"A detective is hired to protect the life of a singer, who has inherited one half of a department store from his uncle, from the store's crooked manager.",Charles Reisner,"Groucho Marx,
Harpo Marx,
Chico Marx",Hal Borne,
07/02/1941,Sergeant York,Tennessee farmer and marksman Alvin is drafted in World War I. He struggles with pacifist beliefs before he becomes a war hero fighting Germany.,Howard Hawks,"Gary Cooper,
Walter Brennan,
Joan Leslie",Max Steiner,
08/21/1941,The Little Foxes,"In 1900, Regina manipulates her daughter while she is estranged from a sick husband. She plots a ruthless business deal with her greedy brothers.",William Wyler,"Bette Davis,
Herbert Marshall,
Teresa Wright",Meredith Willson,
10/03/1941,The Maltese Falcon,"In San Francisco, private detective Sam takes on a case that involves three criminal adventurers, a lying client, and their want of a priceless statuette.",John Huston,"Humphrey Bogart,
Mary Astor,
Gladys George",Adolph Deutsch,
10/23/1941,Dumbo,A young circus elephant born with enormous ears and a supreme lack of confidence learns to surmount all obstacles with the help of a mouse.,Ben Sharpsteen,"Edward Brophy,
Herman Bing,
Margaret Wright","Frank Churchill,
Oliver Wallace",
10/28/1941,How Green Was My Valley,"In Wales, the diligent mining family the Morgans raise six sons and hope their youngest Huwe will find a better life but are exploited by mine owners.",John Ford,"Walter Pidgeon,
Maureen O'Hara,
Donald Crisp",Alfred Newman,
11/14/1941,Suspicion,Shy young heiress Lina marries an irresponsible gambler. She begins to suspect he is planning to kill her for life insurance after failed finance plans.,Alfred Hitchcock,"Cary Grant,
Joan Fontaine,
Cedric Hardwicke",Franz Waxman,
11/21/1941,Shadow of the Thin Man,Nick and Nora's hopes for a calm afternoon at the local racetrack are dashed when a jockey is found shot dead in the locker room. They investigate.,W. S. Van Dyke,"William Powell,
Myrna Loy,
Barry Nelson",David Snell,Thin Man 4
12/12/1941,The Wolf Man,"After his brother’s death, Larry returns home to his father and the family estate. After a trip to a carnival with a woman, he is bitten by a werewolf.",George Waggner,"Lon Chaney Jr.,
Claude Rains,
Warren William",N/A,
